Time,Marker,Group,lumbar_flexion_fwd_deg,lt_lumbar_flexion_lat_deg,lt_lumbar_axial_deg,rt_lumbar_flexion_lat_deg,rt_lumbar_axial_deg,thoracic_flexion_fwd_deg,lt_thoracic_flexion_lat_deg,lt_thoracic_axial_deg,rt_thoracic_flexion_lat_deg,rt_thoracic_axial_deg,lt_hip_flexion_deg,lt_hip_abduction_deg,lt_hip_rotation_ext_deg,lt_knee_abduction_deg,lt_knee_rotation_ext_deg,lt_knee_flexion_deg,lt_ankle_dorsiflexion_deg,lt_ankle_abduction_deg,lt_ankle_inversion_deg,rt_hip_flexion_deg,rt_hip_abduction_deg,rt_hip_rotation_ext_deg,rt_knee_abduction_deg,rt_knee_rotation_ext_deg,rt_knee_flexion_deg,rt_ankle_dorsiflexion_deg,rt_ankle_abduction_deg,rt_ankle_inversion_deg
0.16,,Control,8.799324923,-0.6620112424,-2.295634042,0.6620112424,2.295634042,-1.761646304,0.4091073186,-0.2296314458,-0.4091073186,0.2296314458,3.975589909,-0.405245757,2.92011924,3.219830656,-4.948158808,12.69575317,8.887567376,-1.414146899,9.027245068,0.8077083447,5.08653033,4.303838229,-0.1565211386,-5.064624737,4.841735158,5.914189567,8.038043021,1.303022
0.165,,Control,8.75734521,-0.6665121841,-2.29847646,0.6665121841,2.29847646,-1.785057967,0.3934862837,-0.246760285,-0.3934862837,0.246760285,3.913559615,-0.4417382823,2.981150714,3.201105451,-4.931638056,12.68110151,8.921685692,-1.401759608,8.967082539,0.7618241281,5.07687725,4.332552124,-0.1560613051,-5.092698729,4.786385253,5.896251263,8.035395881,1.326960445
0.17,,Control,8.714345766,-0.6731064634,-2.302042792,0.6731064634,2.302042792,-1.808183385,0.3756060193,-0.2672210454,-0.3756060193,0.2672210454,3.84944679,-0.4759596588,3.047557908,3.184811255,-4.922535946,12.65834906,8.952288294,-1.393359393,8.891538043,0.7173197507,5.065217035,4.356460439,-0.157755859,-5.115593835,4.733932317,5.877188752,8.034044426,1.350573344
0.175,,Control,8.670448793,-0.6818951815,-2.306235983,0.6818951815,2.306235983,-1.830777978,0.3556794542,-0.2907604317,-0.3556794542,0.2907604317,3.783278668,-0.5078264252,3.117809726,3.171292735,-4.92167245,12.62700949,8.978429371,-1.389172123,8.798794068,0.6743456336,5.051480222,4.374681694,-0.1617003378,-5.132168435,4.684595091,5.857175088,8.033756859,1.373922312
0.18,,Control,8.625856209,-0.6929703802,-2.311003244,0.6929703802,2.311003244,-1.852641512,0.3339411465,-0.3170379706,-0.3339411465,0.3170379706,3.715158471,-0.5372782259,3.19012036,3.160906628,-4.929782152,12.5866593,8.998895835,-1.389158358,8.687105851,0.6330184483,5.035537083,4.386538433,-0.1678805107,-5.141422868,4.638574346,5.836392047,8.034238294,1.397072384
0.185,,Control,8.58083959,-0.7064169332,-2.316341629,0.7064169332,2.316341629,-1.87362087,0.3106365945,-0.3456413747,-0.3106365945,0.3456413747,3.645288422,-0.5642598902,3.262471942,3.154001662,-4.947498128,12.53697749,9.012268131,-1.392971687,8.554920165,0.5934103873,5.017214919,4.391612619,-0.176176813,-5.142572407,4.596029339,5.814987251,8.035149865,1.42008841
0.19,,Control,8.535720815,-0.7223096926,-2.322293439,0.7223096926,2.322293439,-1.893597219,0.2860117531,-0.3760978369,-0.2860117531,0.3760978369,3.573988983,-0.5887108941,3.33265383,3.150901443,-4.975330642,12.47779123,9.017004079,-1.399899092,8.401064173,0.5555350655,4.99631622,4.389767958,-0.1863706013,-5.135100911,4.557056586,5.793037317,8.036132877,1.443030413
0.195,,Control,8.49084922,-0.7407026069,-2.3289321,0.7407026069,2.3289321,-1.912461424,0.2603021247,-0.4078812552,-0.2603021247,0.4078812552,3.50169473,-0.6105604043,3.398319374,3.151891252,-5.013639723,12.40910966,9.011535168,-1.40878254,8.225007136,0.5193249525,4.97263711,4.381134345,-0.1981564894,-5.118777413,4.52166612,5.770522013,8.036828952,1.465949306
0.2,,Control,8.446575408,-0.7616132524,-2.336341106,0.7616132524,2.336341106,-1.930088427,0.2337245385,-0.4404166682,-0.2337245385,0.4404166682,3.428935728,-0.6297276731,3.45705073,3.157205194,-5.062590169,12.33114586,8.994370556,-1.417929773,8.027172568,0.4846188667,4.94598267,4.366063863,-0.2111577296,-5.093633947,4.4897698,5.747317467,8.036887327,1.488883442
0.205,,Control,8.403224005,-0.7850056143,-2.344601022,0.7850056143,2.344601022,-1.946316431,0.2064768655,-0.4730796235,-0.2064768655,0.4730796235,3.356311523,-0.6461196482,3.506425447,3.167000502,-5.122088709,12.24432971,8.964212485,-1.425040079,7.809261958,0.4511616178,4.916187703,4.345079051,-0.2249466286,-5.059920896,4.461179443,5.723214397,8.035966749,1.511856038
0.21,,Control,8.361077139,-0.8107707925,-2.353779293,0.8107707925,2.353779293,-1.960943699,0.1787367666,-0.5052042875,-0.1787367666,0.5052042875,3.284468191,-0.6596193864,3.544087742,3.181314273,-5.191693534,12.14932545,8.92007888,-1.427175207,7.57452897,0.4186183957,4.883135111,4.318818968,-0.2390651798,-5.018051528,4.435617473,5.697949591,8.033734615,1.534878801
0.215,,Control,8.320382741,-0.8387094885,-2.363913217,0.8387094885,2.363913217,-1.973750356,0.1506578828,-0.5361063517,-0.1506578828,0.5361063517,3.214090679,-0.670079399,3.567829209,3.200014473,-5.270493532,12.04707735,8.86152258,-1.42093976,7.327867543,0.3865931335,4.846771953,4.287984133,-0.2530465591,-4.968548668,4.412738048,5.671247512,8.02986712,1.557957167
0.22,,Control,8.281386439,-0.8685209931,-2.374992669,0.8685209931,2.374992669,-1.984544892,0.1223551151,-0.5651265811,-0.1223551151,0.5651265811,3.145904487,-0.677311629,3.575667367,3.222736718,-5.356966893,11.93887007,8.788728285,-1.402894007,7.075370105,0.3546500775,4.807116229,4.253289844,-0.2664335985,-4.91200261,4.392146815,5.642850814,8.024054474,1.581094963
0.225,,Control,8.244364071,-0.8998002206,-2.386939121,0.8998002206,2.386939121,-1.993212084,0.09388529118,-0.5916784561,-0.09388529118,0.5916784561,3.080671044,-0.6810736186,3.565925339,3.24881109,-5.448861086,11.8263837,8.702447558,-1.369911971,6.823378516,0.3223385095,4.764251523,4.215419774,-0.2787919278,-4.849037973,4.373423408,5.612547238,8.016010601,1.6042962
0.23,,Control,8.209648459,-0.9320463359,-2.399591015,0.9320463359,2.399591015,-1.999746666,0.06522658574,-0.6152965816,-0.06522658574,0.6152965816,3.019164328,-0.6810568725,3.537308278,3.277203338,-5.54313924,11.71172756,8.603995814,-1.319719355,6.577478456,0.289213148,4.718313757,4.174989617,-0.2897227647,-4.780289408,4.356139546,5.580187387,8.005484661,1.627562799
0.235,,Control,8.177643042,-0.9646812585,-2.412696176,0.9646812585,2.412696176,-2.004270489,0.03626962045,-0.6356700802,-0.03626962045,0.6356700802,2.9621398,-0.6768862342,3.489007471,3.306496673,-5.636059482,11.59741548,8.495362093,-1.251289233,6.342034376,0.254857848,4.669473959,4.13252768,-0.2988704032,-4.706401079,4.339871924,5.545693236,7.992283142,1.650894796
0.24,,Control,8.148810274,-0.9970773334,-2.425910743,0.9970773334,2.425910743,-2.007033193,0.006822369588,-0.6526594091,-0.006822369588,0.6526594091,2.910290018,-0.6681358909,3.420814855,3.334933152,-5.723411508,11.4862403,8.379121002,-1.165193096,6.120056914,0.218921019,4.617921055,4.088462187,-0.3059321718,-4.628036089,4.324211301,5.509063538,7.976296245,1.674287943
0.245,,Control,8.123620113,-1.028590616,-2.438788245,1.028590616,2.438788245,-2.008374925,-0.02336120641,-0.6662943275,0.02336120641,0.6662943275,2.864180426,-0.6543641097,3.333236252,3.360531171,-5.800888965,11.38104802,8.258432019,-1.063627828,5.913309647,0.1811562296,4.563845589,4.043102992,-0.3106637944,-4.545882888,4.308772916,5.470378646,7.957517562,1.697736398
